id;refrence_number;total_po_amount;total_gst_amount;expected_delivery_date;po_date;order_type;order_status;terms_and_condition;notes;last_modified;last_modified_by;free_field_1;free_field_2
1;Proactive granular Optional;84575;28823;2022-03-10T18:22:46;2022-03-10T13:50:50;PURCHASE_ORDER;RECEIVED;withdrawal;Kwanza Gloves;salmon Versatile Alley;Shoes RSS;cross-platform Plastic;transmit Pierre
2;digital Human Lake;42851;86516;2022-03-10T07:41:03;2022-03-10T09:22:46;TAX_INVOICE;COMPLETED;green;Savings clear-thinking;Integration;Multi-channelled Shoes Paradigm;RAM;application Granite implementation
3;Gloves Dynamic Fantastic;47048;71680;2022-03-10T17:36:32;2022-03-11T03:12:49;TAX_INVOICE;CANCELED;Forest capacity payment;Cotton Concrete PCI;Pakistan Soft;National integrate bluetooth;orange Salad District;Avon
4;Dollar Cambridgeshire Data;97337;81670;2022-03-10T20:46:56;2022-03-10T18:29:51;PRODUCT_QUATATION;COMPLETED;hierarchy;compelling primary Sausages;transmitting generate copy;Pants;Cheese;port
5;exploit Advanced deposit;79332;30743;2022-03-10T12:54:45;2022-03-11T01:41:40;TAX_INVOICE;RECEIVED;JBOD;Shoes Rupee hacking;Nebraska;Health hack system;Belize;Platinum Engineer salmon
6;redefine Towels Cyprus;22206;7789;2022-03-11T02:39:59;2022-03-11T03:05:50;PRODUCT_QUATATION;RECEIVED;Functionality cyan Viaduct;Fresh Savings Colorado;navigating Right-sized;interactive;microchip black ubiquitous;Communications
7;Computer technologies Keyboard;90443;11176;2022-03-10T09:05:30;2022-03-11T04:33:50;TAX_INVOICE;COMPLETED;Michigan Electronics;facilitate;back-end Intelligent and;viral;solutions wireless Web;payment Wooden Arkansas
8;SMTP Berkshire cross-platform;28892;49280;2022-03-10T08:19:39;2022-03-10T13:24:29;PURCHASE_ORDER;REQUESTED;capacitor Supervisor protocol;Crossing Borders;Usability Direct Unbranded;Account Product Coordinator;Shilling;schemas intuitive Handcrafted
9;management Table;31185;86963;2022-03-10T13:39:14;2022-03-10T12:27:14;PRODUCT_QUATATION;COMPLETED;overriding Towels Texas;withdrawal metrics Chicken;Frozen synergies;Regional Licensed;Towels drive content-based;Toys
10;Account Human Account;45670;63947;2022-03-11T01:33:12;2022-03-10T20:37:57;PRODUCT_QUATATION;COMPLETED;Buckinghamshire purple;multi-byte;uniform Streamlined generation;Pound;Usability Ranch dot-com;driver Administrator Borders
